Usuario,Categorias,Numero_articulos,Fecha,Precio,Valoracion,Comentarios,Proveedores
46,Hogar,1,2019-09-08 06:22:21.454615,237.44,3.8, muy bueno!,Vileda
264,Electronica,1,2019-01-20 22:21:28.172274,160.43,3.1, cumple las expectativas,General Electric
473,Electronica,11,2020-10-06 12:41:49.435278,438.59,4.7,justo lo que esperaba,Sony
347,Zapatos,8,2019-01-16 12:34:18.014479,48.61,2.2, la calidad no es la esperada,Crocs
341,Deporte,3,2019-12-05 13:24:52.303776,381.07,0.2,no cumple las expectativas,Adidas
430,Deporte,10,2020-07-23 10:07:27.592785,125.27,3.0,me gusto,Nike
285,Electronica,9,2019-02-12 18:24:42.918203,160.6,1.3,no llego el producto,Samsumg
11,Juguetes,8,2019-09-05 01:19:40.618117,198.5,2.6,me gusto,Lego
189,Deporte,5,2019-06-14 11:40:17.135504,415.49,0.4,no llego el producto,Under Armour
473,Zapatos,8,2020-10-13 03:23:39.972965,379.1,2.5,el paquete llego en mal estado,Crocs
156,Deporte,1,2020-08-16 03:09:25.971913,144.76,0.3,no llego el producto,Asics
342,Cocina,1,2020-07-19 22:38:50.481215,12.2,4.4,buena relacion calidad-precio,Bimbo
86,Libros,9,2020-04-22 10:57:01.943045,278.37,1.4,no llego el producto,Platena Comic
354,Ferreteria,2,2020-09-14 17:48:44.019842,61.0,3.9, muy bueno!,Pavco
354,Baño,3,2019-04-20 14:41:36.979712,44.05,3.5,me gusto,Cif
146,Electronica,8,2020-08-16 18:37:14.548510,169.01,2.1, la calidad no es la esperada,General Electric
399,Accesorios,10,2020-02-27 09:36:44.266678,468.21,0.4,no cumple las expectativas,Ray-ban
363,Deporte,9,2020-03-01 02:44:58.994066,392.85,3.3,me gusto,Nike
489,Deporte,5,2019-10-28 19:58:20.627279,345.95,0.2,muy malo,Asics
430,Electronica,4,2020-04-22 05:15:50.095869,17.58,2.2,no llego en tiempo,Sony
307,Baño,6,2020-01-24 00:56:48.824506,114.55,2.1,no llego en tiempo,Don limpio
365,Zapatos,8,2020-03-14 07:30:37.922400,346.79,3.2,llego justo a tiempo,Camper
294,Electronica,1,2019-10-16 08:51:16.219428,127.37,3.7,buena relacion calidad-precio,Sony
281,Zapatos,10,2019-09-26 18:30:53.098113,323.96,3.1,me gusto,Crocs
480,Electronica,2,2019-03-02 18:42:05.319526,291.69,2.7, cumple las expectativas,Samsumg
58,Zapatos,6,2020-10-29 02:48:53.416823,475.97,4.8,justo lo que esperaba,Skechers
432,Ropa,5,2020-11-13 05:26:53.643069,130.52,0.1,no cumple las expectativas,Levis
208,Libros,8,2019-12-29 21:14:17.449573,431.29,3.1,llego justo a tiempo,Alianza Editorial
402,Ferreteria,1,2020-05-17 17:36:06.002681,239.21,4.9,buena relacion calidad-precio,Sika
201,Cocina,6,2020-08-29 11:19:58.677777,31.86,3.3,llego justo a tiempo,Oscar mayer
74,Accesorios,9,2020-10-21 06:11:19.546168,339.48,3.9,justo lo que esperaba,Polo
29,Juguetes,11,2019-07-17 02:03:21.671972,230.41,2.8, cumple las expectativas,Fisher-price
109,Baño,11,2020-02-25 01:59:22.797282,9.17,4.4, muy bueno!,KH7
337,Baño,2,2019-02-10 23:23:06.642444,369.69,0.8,muy malo,Don limpio
32,Baño,6,2020-09-18 12:03:08.407571,109.0,3.1,me gusto,Don limpio
15,Juguetes,6,2020-08-05 12:57:11.788612,76.49,4.3,justo lo que esperaba,Chicco
