usuario,categorias,numero_articulos,fecha,precio,valoracion,comentarios,proveedores,ciudad
1,Cocina,2,Otoño,112.28,2.7,me gusto,Flora,Valladolid
1,Baño,6,Verano,479.51,1.7, la calidad no es la esperada,Don limpio,Valladolid
1,Baño,6,Primavera,459.0,4.8,justo lo que esperaba,Cristasol,Valladolid
1,Zapatos,3,Otoño,435.76,3.7,justo lo que esperaba,New balance,Valladolid
1,Hogar,8,Primavera,410.19,2.9,llego justo a tiempo,Vileda,Valladolid
1,Ropa,1,Verano,403.81,0.5,muy malo,Roxy,Valladolid
1,Juguetes,1,Otoño,110.26,0.2,muy malo,Lego,Valladolid
1,Cocina,4,Primavera,184.53,4.8, muy bueno!,Oscar mayer,Valladolid
1,Ferreteria,2,Primavera,103.69,3.9, muy bueno!,3M,Valladolid
1,Ropa,3,Verano,110.48,4.6,buena relacion calidad-precio,Levis,Valladolid
1,Deporte,4,Otoño,5.55,2.8, cumple las expectativas,Under Armour,Valladolid
1,Cocina,2,Otoño,57.6,1.8,el paquete llego en mal estado,Oscar mayer,Valladolid
1,Cocina,4,Primavera,183.22,4.0,buena relacion calidad-precio,Flora,Valladolid
1,Electronica,10,Primavera,258.73,0.6,no cumple las expectativas,Apple,Valladolid
1,Electronica,9,Otoño,393.63,1.2,no cumple las expectativas,Samsumg,Valladolid
1,Cocina,2,Primavera,59.97,2.7,llego justo a tiempo,Flora,Valladolid
1,Deporte,1,Verano,340.22,5.0,justo lo que esperaba,Adidas,Valladolid
1,Libros,2,Primavera,207.94,1.3,no cumple las expectativas,Ediciones Tomodomo,Valladolid
1,Libros,10,Primavera,461.63,0.5,no llego el producto,Ediciones Tomodomo,Valladolid
2,Hogar,9,Primavera,275.93,0.7,no llego el producto,Colgate - palmolive,Valladolid
2,Hogar,4,Primavera,159.47,1.9,no llego en tiempo,Henkel,Valladolid
2,Deporte,2,Primavera,25.73,1.2,no llego el producto,Asics,Valladolid
2,Electronica,6,Otoño,382.83,1.9,no llego en tiempo,Apple,Valladolid
2,Zapatos,3,Otoño,354.32,0.3,no cumple las expectativas,Skechers,Valladolid
2,Accesorios,3,Verano,75.66,4.9,buena relacion calidad-precio,Ray-ban,Valladolid
2,Cocina,11,Primavera,249.86,4.9,justo lo que esperaba,Flora,Valladolid
2,Juguetes,4,Otoño,106.12,3.6,justo lo que esperaba,Playmobile,Valladolid
2,Hogar,2,Otoño,403.45,2.8,llego justo a tiempo,Vileda,Valladolid
2,Ropa,7,Verano,159.15,4.9, muy bueno!,Hollister,Valladolid
2,Ferreteria,2,Primavera,286.93,1.3,no llego el producto,Sika,Valladolid
2,Ferreteria,1,Primavera,260.45,0.1,no cumple las expectativas,Sika,Valladolid
2,Deporte,11,Primavera,473.77,4.9,justo lo que esperaba,Adidas,Valladolid
2,Juguetes,10,Primavera,466.83,4.2, muy bueno!,Playmobile,Valladolid
3,Baño,11,Otoño,196.03,0.1,no cumple las expectativas,Don limpio,Murcia
3,Baño,3,Otoño,429.35,2.9,llego justo a tiempo,KH7,Murcia
3,Ferreteria,9,Primavera,181.13,4.1,buena relacion calidad-precio,3M,Murcia
3,Ropa,10,Primavera,20.85,2.0,no llego en tiempo,Levis,Murcia
3,Accesorios,5,Verano,454.9,3.4,llego justo a tiempo, Michael Kors,Murcia
3,Libros,10,Otoño,193.83,2.9,llego justo a tiempo,Platena Comic,Murcia
3,Juguetes,4,Verano,260.26,3.0,me gusto,Fisher-price,Murcia
3,Cocina,4,Verano,240.53,0.7,muy malo,Oscar mayer,Murcia
3,Cocina,7,Verano,284.67,0.7,no llego el producto,Oscar mayer,Murcia
3,Ropa,3,Primavera,255.31,0.8,muy malo,Hollister,Murcia
3,Zapatos,6,Verano,144.18,0.1,no cumple las expectativas,Crocs,Murcia
3,Ropa,7,Primavera,132.9,2.2,no llego en tiempo,Hollister,Murcia
3,Juguetes,9,Primavera,9.8,0.1,no llego el producto,Playmobile,Murcia
3,Deporte,7,Primavera,90.7,5.0,justo lo que esperaba,Adidas,Murcia
3,Accesorios,1,Primavera,57.79,3.1,me gusto,Ray-ban,Murcia
3,Deporte,10,Otoño,146.4,2.4,el paquete llego en mal estado,Under Armour,Murcia
3,Baño,7,Primavera,174.71,0.8,no llego el producto,Cif,Murcia
3,Hogar,3,Primavera,394.68,1.1,no llego el producto,Henkel,Murcia
3,Deporte,8,Primavera,77.93,1.0,no cumple las expectativas,Adidas,Murcia
3,Ropa,1,Otoño,173.1,3.4,llego justo a tiempo,Roxy,Murcia
4,Electronica,7,Verano,175.98,2.2,el paquete llego en mal estado,Apple,Vigo
4,Ferreteria,3,Otoño,452.82,3.6, muy bueno!,Pavco,Vigo
4,Hogar,7,Invierno,68.52,2.3,el paquete llego en mal estado,Vileda,Vigo
4,Ferreteria,11,Verano,489.91,0.6,muy malo,Sika,Vigo
4,Deporte,2,Verano,55.73,4.4,buena relacion calidad-precio,Asics,Vigo
4,Baño,1,Primavera,127.9,4.5,justo lo que esperaba,Cif,Vigo
4,Libros,8,Primavera,293.48,3.6, muy bueno!,Platena Comic,Vigo
4,Juguetes,9,Otoño,112.0,3.7,buena relacion calidad-precio,Lego,Vigo
4,Cocina,8,Primavera,197.31,3.1,llego justo a tiempo,Nescafe,Vigo
4,Zapatos,4,Primavera,7.64,1.3,no llego el producto,Crocs,Vigo
4,Baño,8,Otoño,332.25,4.0,justo lo que esperaba,Cif,Vigo
4,Deporte,4,Primavera,311.68,4.5,buena relacion calidad-precio,Adidas,Vigo
4,Deporte,1,Primavera,336.2,0.9,no cumple las expectativas,Adidas,Vigo
4,Baño,10,Primavera,353.55,4.1,buena relacion calidad-precio,Don limpio,Vigo
4,Hogar,4,Verano,208.71,2.0,no llego en tiempo,Vileda,Vigo
4,Libros,5,Verano,347.57,1.4,no llego el producto,Valdemar,Vigo
4,Zapatos,4,Primavera,212.21,2.4, la calidad no es la esperada,New balance,Vigo
5,Juguetes,3,Primavera,57.0,1.1,no cumple las expectativas,Playmobile,Cordoba
5,Hogar,11,Otoño,172.37,1.2,no llego el producto,Henkel,Cordoba
5,Hogar,9,Primavera,208.31,1.5,no llego el producto,Henkel,Cordoba
5,Hogar,9,Otoño,453.46,2.5,el paquete llego en mal estado,Vileda,Cordoba
5,Hogar,4,Primavera,278.79,3.7, muy bueno!,Colgate - palmolive,Cordoba
5,Deporte,9,Verano,91.51,2.2, la calidad no es la esperada,Under Armour,Cordoba
5,Hogar,10,Verano,307.4,2.1, la calidad no es la esperada,Colgate - palmolive,Cordoba
5,Deporte,3,Primavera,212.3,2.1,el paquete llego en mal estado,Adidas,Cordoba
5,Cocina,10,Verano,269.15,4.7,buena relacion calidad-precio,Flora,Cordoba
5,Ropa,5,Otoño,232.63,2.7,me gusto,Hollister,Cordoba
5,Libros,1,Primavera,447.84,3.7,buena relacion calidad-precio,Ediciones Tomodomo,Cordoba
5,Accesorios,10,Verano,244.11,0.5,muy malo,Bimba y Lola,Cordoba
5,Hogar,6,Primavera,282.08,4.6, muy bueno!,Unilever,Cordoba
5,Deporte,6,Invierno,389.67,2.0,el paquete llego en mal estado,Adidas,Cordoba
5,Libros,9,Verano,425.84,1.7, la calidad no es la esperada,Ediciones Tomodomo,Cordoba
5,Hogar,9,Primavera,76.93,2.8,me gusto,Henkel,Cordoba
5,Deporte,10,Primavera,26.57,3.3,llego justo a tiempo,Under Armour,Cordoba
5,Zapatos,9,Primavera,333.4,2.8,me gusto,Skechers,Cordoba
5,Deporte,4,Primavera,5.02,1.3,no cumple las expectativas,Adidas,Cordoba
6,Accesorios,4,Primavera,106.29,0.5,no llego el producto,Polo,Murcia
6,Ropa,3,Verano,250.18,0.0,no llego el producto,Hollister,Murcia
6,Baño,10,Otoño,357.75,4.9,justo lo que esperaba,Don limpio,Murcia
6,Hogar,3,Primavera,232.05,1.4,muy malo,Colgate - palmolive,Murcia
6,Baño,3,Primavera,78.85,1.2,no cumple las expectativas,KH7,Murcia
6,Hogar,7,Primavera,6.85,3.6,justo lo que esperaba,Henkel,Murcia
6,Hogar,5,Otoño,47.64,1.4,muy malo,Henkel,Murcia
6,Zapatos,4,Primavera,365.36,4.3,buena relacion calidad-precio,Skechers,Murcia
6,Baño,1,Primavera,483.55,3.2,llego justo a tiempo,Don limpio,Murcia
6,Juguetes,3,Primavera,477.17,1.1,no cumple las expectativas,Lego,Murcia
6,Cocina,7,Otoño,295.98,2.5,el paquete llego en mal estado,Oscar mayer,Murcia
6,Baño,11,Verano,98.8,2.9,me gusto,Cif,Murcia
6,Hogar,4,Verano,480.26,2.1,el paquete llego en mal estado,Vileda,Murcia
6,Ferreteria,10,Otoño,36.01,1.2,muy malo,3M,Murcia
6,Juguetes,3,Verano,462.39,0.5,no cumple las expectativas,Lego,Murcia
6,Juguetes,8,Primavera,77.11,3.3,llego justo a tiempo,Lego,Murcia
6,Deporte,8,Verano,280.09,0.1,no llego el producto,Nike,Murcia
6,Hogar,4,Primavera,26.31,2.4, la calidad no es la esperada,Vileda,Murcia
6,Baño,5,Primavera,374.99,0.6,muy malo,Don limpio,Murcia
6,Electronica,6,Verano,328.93,4.8,buena relacion calidad-precio,Apple,Murcia
7,Accesorios,10,Otoño,66.98,3.4, cumple las expectativas,Polo,Cordoba
7,Electronica,9,Verano,30.12,1.7, la calidad no es la esperada,Samsumg,Cordoba
7,Libros,5,Verano,414.95,4.2,justo lo que esperaba,Ediciones Tomodomo,Cordoba
7,Electronica,1,Primavera,58.27,3.5, cumple las expectativas,Apple,Cordoba
7,Juguetes,8,Primavera,75.08,0.3,no llego el producto,Lego,Cordoba
7,Ferreteria,1,Primavera,388.16,1.0,muy malo,Sika,Cordoba
7,Cocina,7,Verano,344.52,2.5, la calidad no es la esperada,Flora,Cordoba
7,Baño,9,Primavera,220.63,2.3, la calidad no es la esperada,Cif,Cordoba
7,Ferreteria,6,Invierno,352.12,3.7,buena relacion calidad-precio,Yale,Cordoba
7,Ferreteria,5,Primavera,172.3,1.9,el paquete llego en mal estado,Sika,Cordoba
7,Ferreteria,1,Verano,238.95,0.2,no cumple las expectativas,3M,Cordoba
7,Deporte,6,Primavera,123.0,2.3,el paquete llego en mal estado,Asics,Cordoba
7,Deporte,11,Primavera,251.95,2.8, cumple las expectativas,Adidas,Cordoba
7,Baño,8,Primavera,252.98,1.7, la calidad no es la esperada,Don limpio,Cordoba
7,Cocina,2,Otoño,358.98,2.7, cumple las expectativas,Nescafe,Cordoba
7,Zapatos,6,Primavera,445.5,0.9,muy malo,Skechers,Cordoba
7,Libros,6,Verano,68.35,2.3,no llego en tiempo,Ediciones Tomodomo,Cordoba
7,Deporte,9,Verano,102.22,2.7, cumple las expectativas,Asics,Cordoba
7,Accesorios,8,Verano,134.59,4.8, muy bueno!,Bimba y Lola,Cordoba
7,Electronica,8,Primavera,190.93,1.9,no llego en tiempo,Sony,Cordoba
7,Electronica,3,Primavera,449.7,1.8,el paquete llego en mal estado,Samsumg,Cordoba
7,Juguetes,2,Verano,405.89,2.2, la calidad no es la esperada,Chicco,Cordoba
7,Libros,9,Otoño,234.77,1.9,el paquete llego en mal estado,Ediciones Tomodomo,Cordoba
7,Deporte,6,Primavera,281.7,4.5, muy bueno!,Under Armour,Cordoba
8,Ferreteria,10,Primavera,31.3,2.3, la calidad no es la esperada,Sika,Gijón
8,Deporte,7,Primavera,100.18,3.6,buena relacion calidad-precio,Asics,Gijón
8,Electronica,5,Primavera,152.73,3.8,buena relacion calidad-precio,Apple,Gijón
8,Cocina,8,Verano,17.34,1.8,el paquete llego en mal estado,Flora,Gijón
8,Zapatos,9,Verano,432.12,0.5,no cumple las expectativas,Camper,Gijón
8,Ferreteria,9,Otoño,372.58,4.7, muy bueno!,Pavco,Gijón
8,Deporte,6,Primavera,126.99,4.3, muy bueno!,Under Armour,Gijón
8,Ferreteria,2,Verano,261.83,2.8,me gusto,3M,Gijón
8,Zapatos,6,Verano,443.65,0.5,muy malo,Crocs,Gijón
8,Deporte,11,Primavera,202.18,4.6,buena relacion calidad-precio,Nike,Gijón
8,Accesorios,5,Primavera,455.56,3.5, cumple las expectativas, Michael Kors,Gijón
8,Libros,7,Otoño,174.63,1.7, la calidad no es la esperada,Ediciones Tomodomo,Gijón
8,Baño,5,Primavera,288.24,3.3,llego justo a tiempo,Don limpio,Gijón
8,Deporte,10,Primavera,284.96,4.8,buena relacion calidad-precio,Asics,Gijón
8,Deporte,11,Verano,427.43,2.3,el paquete llego en mal estado,Asics,Gijón
8,Juguetes,4,Primavera,255.82,1.2,muy malo,Lego,Gijón
8,Hogar,6,Verano,311.26,3.1,me gusto,Unilever,Gijón
8,Ferreteria,1,Primavera,123.39,3.0,llego justo a tiempo,Pavco,Gijón
8,Ferreteria,3,Primavera,144.73,0.1,muy malo,Sika,Gijón
8,Ropa,7,Otoño,76.38,0.2,muy malo,Lacoste,Gijón
8,Libros,10,Primavera,432.4,2.0,el paquete llego en mal estado,Alianza Editorial,Gijón
8,Electronica,10,Otoño,169.57,3.0,llego justo a tiempo,Samsumg,Gijón
8,Ropa,8,Primavera,12.95,4.6, muy bueno!,Levis,Gijón
9,Baño,1,Primavera,111.96,0.6,no llego el producto,Cristasol,Bilbao
9,Cocina,11,Otoño,196.68,4.7,buena relacion calidad-precio,Flora,Bilbao
9,Baño,2,Otoño,498.46,2.6,me gusto,Don limpio,Bilbao
9,Ropa,5,Otoño,48.38,3.8,buena relacion calidad-precio,Hollister,Bilbao
9,Juguetes,6,Verano,198.68,1.1,no llego el producto,Playmobile,Bilbao
9,Baño,2,Verano,343.67,2.3, la calidad no es la esperada,Don limpio,Bilbao
9,Accesorios,7,Primavera,490.72,1.3,muy malo, Michael Kors,Bilbao
9,Deporte,9,Primavera,342.98,1.5,muy malo,Adidas,Bilbao
9,Deporte,8,Primavera,101.57,1.2,muy malo,Adidas,Bilbao
9,Accesorios,8,Primavera,41.23,4.8, muy bueno!,Bimba y Lola,Bilbao
9,Cocina,8,Primavera,147.85,3.3, cumple las expectativas,Flora,Bilbao
9,Cocina,8,Otoño,197.82,4.9,buena relacion calidad-precio,Flora,Bilbao
9,Libros,2,Primavera,31.62,2.3,no llego en tiempo,Platena Comic,Bilbao
9,Libros,6,Otoño,498.08,4.5,justo lo que esperaba,Platena Comic,Bilbao
9,Libros,7,Primavera,23.12,3.7, muy bueno!,Alianza Editorial,Bilbao
9,Baño,11,Primavera,348.97,0.0,no cumple las expectativas,KH7,Bilbao
9,Accesorios,1,Otoño,123.92,0.4,muy malo,Ray-ban,Bilbao
9,Accesorios,3,Primavera,397.45,2.2,no llego en tiempo,Bimba y Lola,Bilbao
9,Juguetes,5,Primavera,101.45,2.7, cumple las expectativas,Chicco,Bilbao
9,Electronica,5,Primavera,161.58,3.5, cumple las expectativas,Sony,Bilbao
9,Ferreteria,9,Otoño,250.12,3.7, muy bueno!,Yale,Bilbao
9,Ferreteria,8,Verano,57.67,2.0, la calidad no es la esperada,Pavco,Bilbao
9,Cocina,2,Primavera,319.99,0.4,muy malo,Bimbo,Bilbao
9,Juguetes,6,Verano,153.13,1.6,el paquete llego en mal estado,Chicco,Bilbao
9,Ropa,8,Primavera,477.7,2.3, la calidad no es la esperada,Lacoste,Bilbao
10,Deporte,10,Primavera,327.78,2.2,no llego en tiempo,Adidas,Malaga
10,Deporte,9,Otoño,378.92,4.7,justo lo que esperaba,Asics,Malaga
10,Accesorios,11,Primavera,494.3,3.8,buena relacion calidad-precio,Bimba y Lola,Malaga
10,Deporte,7,Otoño,282.28,4.6,justo lo que esperaba,Asics,Malaga
10,Ropa,4,Verano,305.99,3.1,me gusto,Roxy,Malaga
10,Baño,5,Otoño,445.93,0.7,muy malo,Cristasol,Malaga
10,Baño,7,Primavera,351.92,2.1,no llego en tiempo,Cif,Malaga
10,Ferreteria,3,Verano,431.6,0.8,no llego el producto,3M,Malaga
10,Cocina,6,Primavera,328.23,1.9,no llego en tiempo,Flora,Malaga
10,Hogar,9,Verano,259.77,3.7, muy bueno!,Colgate - palmolive,Malaga
10,Cocina,3,Primavera,207.0,5.0,justo lo que esperaba,Flora,Malaga
10,Ferreteria,2,Primavera,179.05,0.5,no llego el producto,3M,Malaga
10,Ropa,9,Otoño,185.54,1.3,no llego el producto,Roxy,Malaga
10,Accesorios,1,Verano,463.96,0.6,muy malo, Michael Kors,Malaga
10,Electronica,5,Primavera,222.47,2.4,el paquete llego en mal estado,Apple,Malaga
11,Zapatos,1,Primavera,36.89,2.0, la calidad no es la esperada,New balance,Barcelona
11,Hogar,3,Verano,336.37,4.2,justo lo que esperaba,Henkel,Barcelona
11,Libros,4,Primavera,27.44,3.5,llego justo a tiempo,Ediciones Tomodomo,Barcelona
11,Accesorios,2,Primavera,153.12,3.7,buena relacion calidad-precio,Bimba y Lola,Barcelona
11,Accesorios,5,Verano,181.45,0.7,no cumple las expectativas, Michael Kors,Barcelona
11,Electronica,8,Invierno,219.34,5.0,justo lo que esperaba,General Electric,Barcelona
11,Baño,3,Primavera,440.19,3.3,llego justo a tiempo,KH7,Barcelona
11,Ferreteria,11,Otoño,400.88,3.6,buena relacion calidad-precio,3M,Barcelona
11,Baño,6,Verano,168.77,1.9,el paquete llego en mal estado,Cif,Barcelona
11,Accesorios,5,Primavera,392.64,4.4, muy bueno!,Ray-ban,Barcelona
11,Cocina,1,Verano,100.65,1.0,muy malo,Nescafe,Barcelona
11,Cocina,3,Otoño,114.82,3.4,llego justo a tiempo,Bimbo,Barcelona
11,Juguetes,3,Primavera,402.78,3.0, cumple las expectativas,Playmobile,Barcelona
11,Ropa,2,Verano,369.86,1.1,muy malo,Roxy,Barcelona
11,Juguetes,3,Primavera,119.49,2.0,no llego en tiempo,Lego,Barcelona
11,Deporte,9,Primavera,452.81,1.0,no cumple las expectativas,Under Armour,Barcelona
11,Hogar,7,Otoño,458.04,0.5,no llego el producto,Unilever,Barcelona
11,Electronica,4,Primavera,406.55,2.5, la calidad no es la esperada,Samsumg,Barcelona
12,Juguetes,1,Verano,259.26,1.7,no llego en tiempo,Lego,Malaga
12,Hogar,2,Verano,234.56,0.6,no cumple las expectativas,Vileda,Malaga
12,Baño,10,Otoño,328.41,4.7,justo lo que esperaba,Cristasol,Malaga
12,Electronica,6,Otoño,256.0,2.7,llego justo a tiempo,Sony,Malaga
12,Accesorios,5,Otoño,107.7,0.8,no cumple las expectativas,Bimba y Lola,Malaga
12,Deporte,2,Verano,205.87,4.3, muy bueno!,Under Armour,Malaga
12,Libros,3,Primavera,254.34,4.0,justo lo que esperaba,Valdemar,Malaga
12,Baño,2,Otoño,385.59,2.5, la calidad no es la esperada,Don limpio,Malaga
12,Libros,2,Otoño,419.02,0.1,muy malo,Alianza Editorial,Malaga
12,Ropa,11,Verano,18.37,3.3,llego justo a tiempo,Hollister,Malaga
12,Juguetes,9,Verano,460.02,4.2,justo lo que esperaba,Lego,Malaga
12,Zapatos,4,Primavera,152.66,1.6,no llego en tiempo,Crocs,Malaga
12,Accesorios,1,Primavera,49.5,2.4, la calidad no es la esperada,Ray-ban,Malaga
12,Zapatos,10,Primavera,285.47,2.2,el paquete llego en mal estado,Skechers,Malaga
12,Ropa,9,Primavera,96.1,0.9,no llego el producto,Roxy,Malaga
12,Hogar,9,Primavera,292.3,1.7,el paquete llego en mal estado,Henkel,Malaga
12,Juguetes,5,Primavera,464.77,1.7,no llego en tiempo,Chicco,Malaga
12,Libros,9,Primavera,261.5,2.0, la calidad no es la esperada,Alianza Editorial,Malaga
12,Hogar,8,Otoño,172.58,2.8,me gusto,Colgate - palmolive,Malaga
12,Ropa,10,Primavera,119.15,2.9,llego justo a tiempo,Roxy,Malaga
12,Hogar,2,Primavera,226.73,0.3,no cumple las expectativas,Vileda,Malaga
13,Deporte,6,Primavera,39.92,4.9, muy bueno!,Asics,Sevilla
13,Accesorios,6,Primavera,167.09,4.2, muy bueno!,Ray-ban,Sevilla
13,Ferreteria,8,Primavera,146.58,1.3,muy malo,Sika,Sevilla
13,Ferreteria,1,Verano,27.45,3.3,me gusto,3M,Sevilla
13,Accesorios,4,Verano,406.14,2.7,me gusto,Bimba y Lola,Sevilla
13,Baño,9,Otoño,146.44,2.7, cumple las expectativas,Don limpio,Sevilla
13,Ferreteria,2,Primavera,121.22,2.2, la calidad no es la esperada,3M,Sevilla
13,Baño,8,Primavera,228.14,3.1, cumple las expectativas,KH7,Sevilla
13,Hogar,9,Otoño,449.7,0.1,no cumple las expectativas,Henkel,Sevilla
13,Accesorios,11,Verano,240.74,2.6,llego justo a tiempo,Bimba y Lola,Sevilla
13,Electronica,8,Otoño,352.88,2.4,el paquete llego en mal estado,Samsumg,Sevilla
13,Hogar,8,Primavera,160.58,3.4, cumple las expectativas,Vileda,Sevilla
13,Accesorios,1,Verano,220.88,3.9,justo lo que esperaba,Bimba y Lola,Sevilla
13,Baño,4,Primavera,281.06,2.1, la calidad no es la esperada,Don limpio,Sevilla
13,Libros,5,Otoño,206.56,1.9,el paquete llego en mal estado,Ediciones Tomodomo,Sevilla
13,Juguetes,10,Primavera,50.35,3.7,justo lo que esperaba,Fisher-price,Sevilla
13,Deporte,8,Primavera,17.61,2.2, la calidad no es la esperada,Nike,Sevilla
13,Electronica,7,Verano,140.21,1.5,no cumple las expectativas,Sony,Sevilla
13,Electronica,8,Otoño,467.46,1.4,muy malo,Apple,Sevilla
13,Cocina,6,Otoño,215.13,1.1,muy malo,Nescafe,Sevilla
13,Deporte,4,Primavera,457.7,2.6,llego justo a tiempo,Under Armour,Sevilla
13,Ropa,3,Otoño,119.68,2.2,no llego en tiempo,Lacoste,Sevilla
13,Cocina,1,Verano,199.51,0.5,no llego el producto,Flora,Sevilla
13,Juguetes,4,Primavera,348.36,4.9, muy bueno!,Chicco,Sevilla
13,Cocina,9,Primavera,60.57,4.6,buena relacion calidad-precio,Bimbo,Sevilla
13,Baño,6,Otoño,296.58,2.2,el paquete llego en mal estado,Don limpio,Sevilla
13,Electronica,8,Primavera,221.43,3.3, cumple las expectativas,General Electric,Sevilla
14,Electronica,5,Primavera,12.18,2.5,el paquete llego en mal estado,General Electric,Palma
14,Libros,2,Primavera,93.95,2.8,me gusto,Valdemar,Palma
14,Libros,2,Primavera,116.25,0.7,muy malo,Platena Comic,Palma
14,Libros,8,Primavera,440.49,0.3,no cumple las expectativas,Alianza Editorial,Palma
14,Hogar,3,Primavera,250.03,4.1,justo lo que esperaba,Vileda,Palma
14,Ropa,6,Verano,355.56,4.8,justo lo que esperaba,Levis,Palma
14,Ferreteria,1,Primavera,364.05,0.8,no cumple las expectativas,Sika,Palma
14,Ropa,2,Verano,78.59,1.5,no cumple las expectativas,Levis,Palma
14,Libros,2,Otoño,334.28,4.1, muy bueno!,Ediciones Tomodomo,Palma
14,Baño,10,Primavera,429.54,0.8,no cumple las expectativas,Cristasol,Palma
14,Ropa,6,Primavera,197.41,0.9,no cumple las expectativas,Levis,Palma
14,Cocina,3,Primavera,373.9,2.5,el paquete llego en mal estado,Oscar mayer,Palma
14,Libros,3,Verano,287.4,3.9,buena relacion calidad-precio,Valdemar,Palma
15,Deporte,10,Otoño,319.73,4.5, muy bueno!,Under Armour,Bilbao
15,Juguetes,6,Verano,206.2,2.1,no llego en tiempo,Playmobile,Bilbao
15,Juguetes,10,Otoño,78.0,3.7,buena relacion calidad-precio,Playmobile,Bilbao
15,Electronica,9,Otoño,353.23,0.1,no cumple las expectativas,Apple,Bilbao
15,Hogar,1,Primavera,327.4,3.5, cumple las expectativas,Colgate - palmolive,Bilbao
15,Juguetes,1,Verano,8.41,2.0,el paquete llego en mal estado,Chicco,Bilbao
15,Ropa,8,Primavera,221.36,1.7,no llego en tiempo,Roxy,Bilbao
15,Hogar,10,Otoño,65.26,4.6, muy bueno!,Henkel,Bilbao
15,Cocina,5,Otoño,202.3,1.4,no cumple las expectativas,Bimbo,Bilbao
15,Libros,9,Primavera,246.27,1.9, la calidad no es la esperada,Valdemar,Bilbao
15,Accesorios,6,Primavera,245.74,0.5,no cumple las expectativas,Bimba y Lola,Bilbao
15,Ferreteria,9,Primavera,229.98,4.9,justo lo que esperaba,3M,Bilbao
15,Electronica,4,Verano,98.24,0.9,no llego el producto,Samsumg,Bilbao
15,Cocina,5,Primavera,395.17,3.2,me gusto,Nescafe,Bilbao
15,Electronica,7,Otoño,308.88,3.7,justo lo que esperaba,General Electric,Bilbao
15,Ropa,6,Verano,167.78,3.4,me gusto,Levis,Bilbao
15,Zapatos,9,Primavera,30.01,0.0,no cumple las expectativas,Crocs,Bilbao
16,Zapatos,3,Primavera,161.24,0.1,muy malo,Skechers,Sevilla
16,Ropa,7,Verano,58.06,3.6,buena relacion calidad-precio,Roxy,Sevilla
16,Ferreteria,10,Primavera,97.79,1.1,no cumple las expectativas,Pavco,Sevilla
16,Zapatos,4,Primavera,190.56,4.2, muy bueno!,Skechers,Sevilla
16,Deporte,5,Verano,95.08,4.7,buena relacion calidad-precio,Asics,Sevilla
16,Cocina,2,Verano,73.39,4.1,buena relacion calidad-precio,Bimbo,Sevilla
16,Libros,10,Otoño,488.2,2.5, la calidad no es la esperada,Platena Comic,Sevilla
16,Cocina,11,Primavera,394.81,0.3,muy malo,Oscar mayer,Sevilla
16,Baño,3,Primavera,59.96,0.4,no cumple las expectativas,Cif,Sevilla
16,Libros,10,Otoño,146.21,4.3,buena relacion calidad-precio,Alianza Editorial,Sevilla
16,Juguetes,11,Primavera,472.45,1.4,muy malo,Playmobile,Sevilla
16,Hogar,4,Primavera,133.66,1.1,no cumple las expectativas,Henkel,Sevilla
16,Deporte,4,Otoño,416.53,1.4,no llego el producto,Nike,Sevilla
16,Deporte,2,Primavera,298.48,0.5,no llego el producto,Asics,Sevilla
16,Juguetes,2,Primavera,44.39,3.5,llego justo a tiempo,Lego,Sevilla
16,Accesorios,7,Primavera,46.39,0.9,no llego el producto,Ray-ban,Sevilla
16,Ropa,6,Verano,253.62,1.5,muy malo,Roxy,Sevilla
16,Baño,2,Otoño,212.29,4.0, muy bueno!,Don limpio,Sevilla
17,Zapatos,4,Primavera,462.73,1.2,no cumple las expectativas,Crocs,Alicante
17,Baño,1,Primavera,70.22,4.6,justo lo que esperaba,Cif,Alicante
17,Zapatos,3,Primavera,453.76,4.4, muy bueno!,New balance,Alicante
17,Baño,3,Primavera,390.17,0.2,muy malo,Cristasol,Alicante
17,Ropa,6,Verano,311.17,0.4,no cumple las expectativas,Hollister,Alicante
17,Accesorios,2,Verano,85.08,4.1,buena relacion calidad-precio,Bimba y Lola,Alicante
17,Zapatos,1,Primavera,283.04,0.2,muy malo,Camper,Alicante
17,Deporte,8,Primavera,328.09,2.2,el paquete llego en mal estado,Nike,Alicante
17,Accesorios,11,Verano,332.45,1.1,no cumple las expectativas,Bimba y Lola,Alicante
17,Baño,8,Otoño,189.76,0.9,no cumple las expectativas,Cristasol,Alicante
17,Juguetes,9,Primavera,311.34,4.9,justo lo que esperaba,Fisher-price,Alicante
17,Hogar,9,Verano,134.24,3.0,llego justo a tiempo,Henkel,Alicante
17,Ropa,5,Primavera,487.09,4.3, muy bueno!,Roxy,Alicante
17,Zapatos,6,Primavera,300.01,4.9,justo lo que esperaba,New balance,Alicante
