usuario,categorias,numero_articulos,fecha,precio,valoracion,comentarios,proveedores
92,Baño,8,2019-03-27 21:08:33.786039,343.53,0.5,no llego el producto,KH7
265,Baño,6,2019-08-08 15:19:19.873440,78.43,3.7,justo lo que esperaba,KH7
106,Baño,7,2020-11-10 18:56:30.101786,446.09,2.4,no llego en tiempo,Cristasol
24,Deporte,1,2020-08-28 10:26:59.585523,201.92,4.6,justo lo que esperaba,Adidas
214,Electronica,8,2020-06-24 08:37:07.365533,242.89,4.8,buena relacion calidad-precio,General Electric
7,Accesorios,10,2020-11-25 23:27:03.714345,66.98,3.4, cumple las expectativas,Polo
50,Hogar,8,2020-01-18 06:24:16.286600,397.37,4.4,justo lo que esperaba,Colgate - palmolive
171,Deporte,10,2020-07-31 18:02:39.664283,274.48,2.3,no llego en tiempo,Under Armour
380,Accesorios,10,2020-05-11 23:16:12.319309,176.94,0.7,no llego el producto,Polo
40,Libros,8,2020-03-07 21:24:44.485424,466.79,1.6, la calidad no es la esperada,Valdemar
125,Electronica,7,2019-02-04 02:41:47.478265,209.04,1.4,muy malo,Sony
444,Accesorios,10,2020-11-16 19:23:18.812361,101.65,4.5,buena relacion calidad-precio, Michael Kors
474,Cocina,6,2020-04-08 03:02:55.642718,359.18,1.4,muy malo,Oscar mayer
394,Ferreteria,3,2019-06-14 23:18:49.280349,56.21,1.4,no cumple las expectativas,Yale
500,Baño,5,2019-08-16 12:23:28.675473,15.3,0.7,muy malo,Cif
467,Juguetes,3,2020-05-12 22:47:06.898623,32.8,3.2,me gusto,Playmobile
439,Zapatos,10,2020-04-26 10:19:23.803641,159.49,1.8, la calidad no es la esperada,Crocs
350,Libros,1,2020-03-10 03:04:17.765680,154.44,3.4,me gusto,Ediciones Tomodomo
288,Hogar,2,2019-11-28 02:26:04.402834,268.16,1.5,muy malo,Henkel
112,Libros,5,2020-05-22 20:43:41.677988,272.41,4.7,justo lo que esperaba,Platena Comic
397,Zapatos,9,2019-02-02 21:03:05.644785,145.14,3.2,me gusto,Camper
103,Cocina,3,2019-12-30 07:36:53.875827,127.21,2.6, cumple las expectativas,Oscar mayer
58,Deporte,5,2019-08-20 13:06:05.577167,180.5,3.2,me gusto,Under Armour
421,Ferreteria,5,2019-07-18 21:00:46.224800,292.7,4.8, muy bueno!,Pavco
325,Ferreteria,9,2019-08-22 21:12:12.905252,200.24,0.7,no llego el producto,Sika
327,Cocina,5,2019-04-01 09:12:09.635597,122.14,3.0,me gusto,Nescafe
284,Zapatos,11,2020-02-04 18:12:28.826478,199.74,4.0, muy bueno!,Skechers
286,Libros,7,2019-07-25 23:40:36.838418,152.83,3.5, cumple las expectativas,Ediciones Tomodomo
365,Accesorios,7,2019-10-22 15:11:13.125386,451.87,3.9,justo lo que esperaba,Polo
